,Logistic Regression,Balanced Random Forest,Balanced Bagging,Easy Ensemble,RUS Boost,target
0,0.2987145552396393,0.125,0.125,0.4921249259221496,0.49320137030503164,0
1,0.5613481831799824,0.295,0.29,0.49642497240577954,0.4969627131187257,0
2,0.29078095335337667,0.185,0.16,0.49655782854109803,0.4962265186718904,0
3,0.25125681794340204,0.135,0.095,0.4927242190636821,0.49340047962301936,0
4,0.46620470002614967,0.395,0.31,0.49579553938811466,0.4952179686856511,0
5,0.29960563497820347,0.69,0.655,0.49373986073234977,0.4919278525635267,1
6,0.5469739014095532,0.725,0.595,0.5103354051232172,0.5111991760613365,0
7,0.5465095662051449,0.42,0.365,0.4998707939477158,0.49955138347292766,0
8,0.02065022733893425,0.33,0.295,0.49310071417951584,0.4942433620453182,0
9,0.574528469915821,0.35,0.295,0.49942212849748147,0.50152717674388,0
10,0.497439796698785,0.505,0.405,0.5010992259901417,0.5034721789254186,0
11,0.5476954067171602,0.485,0.465,0.4996016876691441,0.49768599322208096,0
12,0.39801938074408716,0.295,0.25,0.4975641031808806,0.4980443562469776,0
13,0.5819687655108902,0.42,0.335,0.49900493508971167,0.5004830010777783,0
14,0.012293186367367473,0.34,0.355,0.5009780916343707,0.49332497413876913,0
15,0.5564201699884471,0.355,0.34,0.49957747219628545,0.4992260129259426,0
16,0.5739618585130284,0.48,0.385,0.4999490276008904,0.5007792531837664,0
17,0.4735462284727471,0.705,0.72,0.49955673837141545,0.5006590195224155,1
18,0.4844693317710609,0.145,0.11,0.4949729859542842,0.49435838339230076,0
19,0.618062274439396,0.855,0.795,0.4980664424717922,0.49615747750275874,1
20,0.37140047333008236,0.3,0.195,0.4957946152495174,0.49575536349551075,0
21,0.18925078193511713,0.715,0.77,0.4964830748649375,0.49403634916787803,1
22,0.6187442016210897,0.745,0.74,0.49871409092232993,0.4989874728338239,1
23,0.49473064708649434,0.29,0.25,0.4958978457899257,0.4960598050576213,0
24,0.5556241744934297,0.245,0.315,0.4962710769761869,0.4968535640300824,0
25,0.5994931675541046,0.185,0.08,0.4959610650978849,0.49561909620970057,0
26,0.5559457370454403,0.18,0.2,0.49688755254140626,0.4972394069975653,0
27,0.5165777757027462,0.405,0.37,0.49185024720258363,0.4910684348118439,0
28,0.47272125230455264,0.6051666666666666,0.47958333333333336,0.49884096635272634,0.49950727052470034,0
29,0.5628899181512849,0.37,0.31,0.49913085513276356,0.4991288468214954,0
30,0.4999781351540006,0.195,0.175,0.4966749921560734,0.49645272234172605,0
31,0.2141725912877219,0.29,0.285,0.49419763997908617,0.4931949020397454,0
32,0.486379330543559,0.15,0.045,0.49441284554092346,0.49389710413266835,0
33,0.491575893174142,0.245,0.225,0.49342374695736146,0.49178466408757227,0
34,0.5176921280424059,0.12,0.11,0.4932835849259024,0.4943487914240397,0
35,0.5858811897064794,0.44,0.42,0.4997691394735436,0.5015583875474351,0
36,0.24535339263354453,0.2,0.23,0.4923756969951352,0.4919024904836872,0
37,0.0014206210700600695,0.275,0.145,0.4855045651961485,0.49124446335673616,0
38,0.4923077691548284,0.425,0.385,0.49625950120397677,0.4935149261952229,0
39,0.4549056562534244,0.325,0.31,0.49985265509875204,0.500607981997703,0
40,0.5735219362138153,0.22,0.32,0.49271550386716845,0.4920625597146932,0
41,0.5751894000778163,0.21,0.19,0.4961234293959279,0.4972394069975653,0
42,0.3247803155272499,0.39,0.435,0.49756307858990567,0.49551288367473123,0
43,0.5823979175432613,0.435,0.43,0.4998621374239931,0.4977042771824632,0
44,0.49137309586367256,0.655,0.65,0.49507174873816706,0.49298608529440935,1
45,0.47108215812321985,0.13,0.03,0.4894761784284964,0.48947195607012023,0
46,0.5728997233928083,0.28,0.235,0.497222887185873,0.4972394069975653,0
47,0.3218931947007562,0.23,0.17,0.4951864590225165,0.4941225791910474,0
48,0.4599031661280291,0.255,0.22,0.4978042490825599,0.49928493219422676,0
49,0.587667012712205,0.955,0.97,0.5124775195231702,0.5117718841949587,1
50,0.3233888126532557,0.145,0.105,0.4928171481802822,0.49301490677056237,0
51,0.5680097196835935,0.605,0.605,0.5059236180506363,0.506527309994304,0
52,0.4118699827738103,0.06,0.05,0.4937605040070339,0.4940061964375745,0
53,0.5224596577247014,0.505,0.465,0.5021373971644556,0.5018310405814326,0
54,0.5961292078392508,0.24,0.18,0.49625087018448855,0.49925344783714826,0
55,0.5796649038577749,0.68,0.625,0.5030869277321993,0.5039640939619335,0
56,0.5623450867864578,0.945,0.975,0.5125781662123206,0.5127196444884055,1
57,0.5627757654549054,0.42,0.415,0.49706305596616684,0.4962159063010416,0
58,0.4955566407620358,0.17,0.14,0.49058125792684515,0.4911195755244406,0
59,0.48137450408978205,0.26,0.145,0.4981990832446714,0.4987417454798503,0
60,0.5670935106154019,0.345,0.33,0.49722309073053894,0.4980052826171999,0
61,0.5722831160743114,0.38,0.37,0.4982126227001567,0.4970255096697868,0
62,0.4479337535402442,0.92,0.93,0.5026530373309511,0.5038120231555083,1
63,0.5494032982797933,0.76,0.805,0.49944958316383625,0.49892688060538243,1
64,0.4606011315843136,0.185,0.135,0.49316919439338724,0.49331346658897474,0
65,0.682976764671594,0.64,0.6,0.5088115298344096,0.5097713344898266,0
66,0.2687987597389238,0.165,0.055,0.493518969780446,0.49360261857769905,0
67,0.6061741503165077,0.17,0.13,0.49565060351854767,0.494666514350172,0
68,0.6534785901928373,0.325,0.36,0.5005245333915076,0.49649106689769873,0
69,0.5046578506751206,0.605,0.46,0.5035998440148048,0.5065747264595641,0
70,0.418429337011258,0.755,0.73,0.49725280447262926,0.49849813349913585,1
71,0.15318640276450385,0.27,0.18,0.4946494460527385,0.49683280076677977,0
72,0.5544198230438923,0.35,0.305,0.4974501798128283,0.4978357354277334,0
73,0.5889694250243936,0.71,0.745,0.5136548521969755,0.5137453466433972,0
